availability,image_url,price,rating,title
In stock,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,£51.77,Three,A Light in the ...
In stock,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,£53.74,One,Tipping the Velvet
In stock,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,£50.10,One,Soumission
In stock,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,£47.82,Four,Sharp Objects
In stock,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,£54.23,Five,Sapiens: A Brief History ...
In stock,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,£22.65,One,The Requiem Red
In stock,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,£33.34,Four,The Dirty Little Secrets ...
In stock,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,£17.93,Three,The Coming Woman: A ...
In stock,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,£22.60,Four,The Boys in the ...
In stock,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,£52.15,One,The Black Maria
In stock,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,£13.99,Two,Starving Hearts (Triangular Trade ...
In stock,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,£20.66,Four,Shakespeare's Sonnets
In stock,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,£17.46,Five,Set Me Free
In stock,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,£52.29,Five,Scott Pilgrim's Precious Little ...
In stock,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,£35.02,Five,Rip it Up and ...
In stock,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,£57.25,Three,Our Band Could Be ...
In stock,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,£23.88,One,Olio
In stock,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,£37.59,One,Mesaerion: The Best Science ...
In stock,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,£51.33,Two,Libertarianism for Beginners
In stock,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,£45.17,Two,It's Only the Himalayas
In stock,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,£12.84,One,In Her Wake
In stock,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,£37.32,Two,How Music Works
In stock,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,£30.52,Three,Foolproof Preserving: A Guide ...
In stock,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,£25.27,Five,Chase Me (Paris Nights ...
In stock,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,£34.53,Five,Black Dust
In stock,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,£54.64,Three,Birdsong: A Story in ...
In stock,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,£22.50,Three,America's Cradle of Quarterbacks: ...
In stock,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,£53.13,Three,Aladdin and His Wonderful ...
In stock,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,£40.30,Five,Worlds Elsewhere: Journeys Around ...
In stock,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,£44.18,Four,Wall and Piece
In stock,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,£17.66,Five,The Four Agreements: A ...
In stock,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,£31.05,Three,The Five Love Languages: ...
In stock,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,£23.82,Five,The Elephant Tree
